areas_of_interest,consultations,detailOfTypeDoc,experience,image_url,name,profile_url,qualifications,reviews,satisfaction,specialization,totalNumOfDocs,typeOfDoc
"Infertility, Male Sexual Health, Stones Of Urinary Tract, Erectile Dysfunction","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,899"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Farooq Urology Clinic, Samanabad, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2499"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Farooq Urology Clinic, Samanabad, Lahore""}, {""type"": ""Punjab Medical Center, Jail Road, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3199"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Punjab Medical Center, Jail Road, Lahore""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",40,https://staticconnect.marham.pk/assets/doctors/10480/dr-muhammad-farooq-ahmed-urologist-lahore-38_170X170.webp,Prof. Dr. Muhammad Farooq,https://www.marham.pk/doctors/lahore/urologist/prof-dr-muhammad-farooq,"MBBS, FCPS (Urology), FCPS (Surgery)",0,97,"Urologist, Sexologist, Andrologist",655,Urologist
"Infertility, External Lithotripsy, Male Infertility Treatment, Adult Urology","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Urology Clinic, Blue Area, Islamabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Urology Clinic, Blue Area, Islamabad""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",35,https://staticconnect.marham.pk/assets/doctors/6402/dr-aftab-ali-malik-urologist-islamabad-91_170X170.webp,Dr. Aftab Ali Malik,https://www.marham.pk/online-consultation/urologist/islamabad/dr-aftab-ali-malik-6402,"MBBS, FCPS (Urology)",6402,94,"Urologist, Sexologist, Andrologist",655,Urologist
"Prostate Diseases, Stone Diseases, Infertility, Kidney Stones","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""700"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""BHY hospital, Dehli Colony, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""900"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""BHY hospital, Dehli Colony, Karachi""}, {""type"": ""Gastro liver and Multispeciality Center (GLMC), Saddar, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Gastro liver and Multispeciality Center (GLMC), Saddar, Karachi""}, {""type"": ""Memon Medical Complex Hospital, F.B Area, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""650"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Memon Medical Complex Hospital, F.B Area, Karachi""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",8,https://staticconnect.marham.pk/assets/doctors/25360/dr-muhammad-imran-malik-urologist-karachi-9_170X170.webp,Dr. Muhammad Imran Malik,https://www.marham.pk/doctors/karachi/urologist/dr-muhammad-imran-malik,"MBBS, FCPS",0,91,Urologist,655,Urologist
"Infertility, Male Sexual Health, Stones Of Urinary Tract, Male Infertility Treatment, Pcnl, Infertility, Microsurgery, Penile Implants, Pcnl, Infertility, Microsurgery, Penile Implants, Implant Dentistry","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""5,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Chughtai Medical Center Jail Road, Gulberg 5, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""4000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Chughtai Medical Center Jail Road, Gulberg 5, Lahore""}, {""type"": ""Chughtai Medical Center Johar Town, Johar Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""4000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Chughtai Medical Center Johar Town, Johar Town, Lahore""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",28,https://staticconnect.marham.pk/assets/doctors/2881/dr-fawad-nasrullah-urologist-lahore_170X170.webp,Prof. Dr. Fawad Nasrullah,https://www.marham.pk/doctors/lahore/urologist/prof-dr-fawad-nasrullah,"MBBS, FCPS (Urology), FACS (USA)",0,92,"Urologist, Sexologist, Urologist, Endourologist, Andrologist",655,Urologist
"Prostate Diseases, Stone Diseases, Infertility, Kidney Stones","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Azeem Medical Complex AMC, Munir Chowk, Gujranwala"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1450"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Azeem Medical Complex AMC, Munir Chowk, Gujranwala""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",20,https://staticconnect.marham.pk/assets/doctors/16281/doctorasifmalik-urologist-gujranwala-89_170X170.webp,Asst. Prof. Dr. Associate Dr. Asif Malik,https://www.marham.pk/online-consultation/urologist/gujranwala/asst-prof-dr-associate-dr-asif-malik-16281,"MBBS, MS (Urology)",16281,97,"Urologist, Sexologist, Andrologist",655,Urologist
"Infertility, Prostatic Disease, Stones Of Urinary Tract","[{""type"": ""Primax Medical Complex, Mareer Chowk, Rawalpindi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Primax Medical Complex, Mareer Chowk, Rawalpindi""}, {""type"": ""Primax Diagnostic Centre, Murree Road, Rawalpindi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Primax Diagnostic Centre, Murree Road, Rawalpindi""}, {""type"": ""Executive Clinics & Pharmacy, bahria  town, Islamabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Executive Clinics & Pharmacy, bahria  town, Islamabad""}, {""type"": ""Ahmad Medical Complex Hospital, Satellite Town, Rawalpindi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Ahmad Medical Complex Hospital, Satellite Town, Rawalpindi""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",25,https://staticconnect.marham.pk/assets/doctors/8163/dr-salman-ahmed-tipu-urologist-islamabad-32_170X170.webp,Prof. Dr. Salman Ahmed Tipu,https://www.marham.pk/doctors/rawalpindi/urologist/prof-dr-salman-ahmed-tipu,"MBBS, FRCS (General Surgery), FCPS (Urology)",0,94,"Urologist, Sexologist, Andrologist",655,Urologist
"UroOncology, Kidney Stones, Endo Urology, Laparoscopic Urology","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,700"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""The Kidney Centre, Cantt, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3050"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""The Kidney Centre, Cantt, Karachi""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",20,https://staticconnect.marham.pk/assets/doctors/8729/dr-muhammad-shoaib-mithani-urologist-karachi-73_170X170.webp,Dr. Muhammad Shoaib Mithani,https://www.marham.pk/doctors/karachi/urologist/dr-muhammad-shoaib-mithani,"MBBS, FCPS, Fellow (European Board Urology)",0,97,"Urologist, Sexologist, Andrologist",655,Urologist
"Stone Diseases, Infertility, External Lithotripsy, Male Sexual Health, Renal Stones","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Mission Hospital, Dabgari Gardens, Peshawar"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Mission Hospital, Dabgari Gardens, Peshawar""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",35,https://staticconnect.marham.pk/assets/doctors/13154/dr-amin-ul-haq-urologist-peshawar-17_170X170.webp,Prof. Dr. Amin Ul Haq,https://www.marham.pk/doctors/peshawar/urologist/prof-dr-amin-ul-haq,"MBBS,  Masters of Surgery (Urology)",0,96,"Urologist, Sexologist, Andrologist",655,Urologist
"Prostate Diseases, Stone Diseases, Kidney Stones, Male Sexual Health","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Doctors Hospital, Johar Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Doctors Hospital, Johar Town, Lahore""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",26,https://staticconnect.marham.pk/assets/doctors/7325/dr-khizer-hayat-gondal-urologist-lahore_170X170.webp,Prof. Dr. Khizer Hayat Gondal,https://www.marham.pk/doctors/lahore/urologist/prof-dr-khizer-hayat-gondal,"MBBS, FCPS, Training Laproscopis surgery",0,93,"Urologist, Sexologist, Andrologist",655,Urologist
"Prostate Diseases, Stone Diseases, Infertility, Extra Corporeal Shock Wave Lithotripsy","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Urology Clinic, Bahawalpur Cantt, Bahawalpur"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Urology Clinic, Bahawalpur Cantt, Bahawalpur""}]","Urologists are specialist who diagnose, treat and manage conditions that affect reproductive and bladder health in men.",30,https://staticconnect.marham.pk/assets/doctors/6713/prof-dr-shafqat-ali-tabassum-urologist-bahawalpur-53_170X170.webp,Prof. Dr. Shafqat Ali Tabassum,https://www.marham.pk/doctors/bahawalpur/urologist/prof-dr-shafqat-ali-tabassum,"MBBS, FCPS",0,92,Urologist,655,Urologist
